text,label
I'm so frustrated right now.,negative
This is the worst experience.,negative
I can't believe how bad this is.,negative
I'm seriously disappointed.,negative
Everything is broken again.,negative
Nothing is working!,negative
I hate this.,negative
"Ugh, not again.",negative
Terrible support service.,negative
Absolutely useless.,negative
Why does this keep happening?,negative
Still waiting. This sucks.,negative
I'm angry and tired of this.,negative
No response? Really?,negative
So unhelpful.,negative
It's been hours and no fix.,negative
Extremely unhappy.,negative
This makes me furious.,negative
Not acceptable.,negative
You've let me down.,negative
Broken again. I'm done.,negative
Too many problems.,negative
My patience is gone.,negative
Completely failed again.,negative
Can't rely on this.,negative
I feel ignored.,negative
This app is trash.,negative
Worst experience ever.,negative
How many times must I report this?,negative
Never buying from here again.,negative
Still no solution!,negative
Customer support is a joke.,negative
I regret using this.,negative
Beyond disappointing.,negative
This is just nonsense.,negative
Sick of this.,negative
It's a disaster.,negative
So much stress because of this.,negative
Let down again.,negative
Support doesn't care.,negative
Feeling helpless here.,negative
Nobody listens.,negative
I want a refund.,negative
Utter failure.,negative
Horrible product.,negative
Frustrated beyond words.,negative
So many bugs.,negative
Just terrible.,negative
Does anyone care?,negative
I feel so upset.,negative
Hello.,neutral
How do I update my account?,neutral
Please let me know the steps.,neutral
Is this the latest version?,neutral
How do I reset my password?,neutral
Can you help me with billing?,neutral
I'm not sure what to do next.,neutral
When is the update coming?,neutral
Is this still supported?,neutral
Can I talk to someone?,neutral
What happens if I uninstall?,neutral
How do I change my settings?,neutral
I have a quick question.,neutral
Where can I find that option?,neutral
Just checking something.,neutral
Is it compatible with my phone?,neutral
Do you have a manual?,neutral
Does this work offline?,neutral
How long is the warranty?,neutral
Can you clarify this?,neutral
I'm trying to set it up.,neutral
Looking for more info.,neutral
Can you walk me through it?,neutral
Is that feature available?,neutral
Not sure what's next.,neutral
Can I restart the process?,neutral
Is there a demo?,neutral
Just testing the system.,neutral
Checking for updates.,neutral
Where's the documentation?,neutral
Still exploring the app.,neutral
Trying to log in.,neutral
How do I contact support?,neutral
Can I try another device?,neutral
Is this plan right for me?,neutral
What's included?,neutral
Can I cancel later?,neutral
Is this a paid feature?,neutral
Looking for options.,neutral
Trying again now.,neutral
Checking your reply.,neutral
Need some clarification.,neutral
Still unsure about it.,neutral
Let me look into that.,neutral
I'll get back to you.,neutral
Maybe later.,neutral
Need more information.,neutral
Trying to understand.,neutral
"Okay, let me think.",neutral
Thank you so much!,positive
That worked perfectly.,positive
Awesome support!,positive
Really appreciate the help.,positive
I'm very happy with this.,positive
Yay! Problem solved.,positive
You rock!,positive
Best experience ever.,positive
It's working now!,positive
Super helpful.,positive
Couldn't be happier.,positive
You're amazing.,positive
Everything's great now.,positive
Flawless service.,positive
Absolutely love this!,positive
Brilliant solution.,positive
Just perfect.,positive
You saved me.,positive
This is incredible!,positive
Smooth process.,positive
Loving it so far.,positive
It's even better than I expected.,positive
Top notch.,positive
So grateful.,positive
Fantastic help!,positive
That was quick.,positive
It's a joy to use.,positive
Impressive service.,positive
You nailed it!,positive
I'm thrilled.,positive
Exactly what I needed.,positive
Amazing job.,positive
Super intuitive.,positive
I appreciate it.,positive
Top-tier support.,positive
It's been a breeze.,positive
Everything's clear now.,positive
Just wanted to say thanks.,positive
You guys are the best.,positive
Thanks again!,positive
Can't thank you enough.,positive
Loved how simple that was.,positive
You're the MVP.,positive
It's fixed. Great job!,positive
Everything went smoothly.,positive
So easy to understand.,positive
I'm impressed.,positive
Perfect instructions.,positive
That's excellent.,positive
Cheers!,positive
